FID_1,ProjectNo,Dist,AddMPOName,IDENTIFIER,IDENTIFI_1,DESC_,PROJTYPE,ESTIMPRVAS,ROUTEORDER,TYCOUNTYDI,Routeuniqu,BEGINNINGM,ENDINGMILE,TYROUTENAM,EEC_Intersection,ProjectN_1
810,587,6,Bluegrass ADD,IP20150341,Jun-00,CONSTRUCT WEST US-27 CYNTHIANA BYPASS: SECTION THREE FROM US-27 NORTH TO US 62 EAST. (06CCN),BYPASS(O),Construct Road in New Location,3,Harrison,049-US-0027  -000,2,2.6,Impacted,-0.774674317,587
776,588,6,Northern Kentucky ADD,IP20150389,6-183,"STUDY AND REHABILITATE THE I-471 CORRIDOR, CAMPBELL COUNTY, KENTUCKY. (SEE ALSO 6-8104.00)(2005HPP-KY120)",RECONSTRUCTION(O),Transportation Studies,1,Campbell,019-I-0471  -000,0,5.016,Existing,0,0
455,589,6,Northern Kentucky ADD,IP20150445,6-352,EXTEND PROPOSED POND CREEK ROAD FROM US-27 TO AA HIGHWAY VIA PORTION OF KY 10/KY 1997 CORRIDOR (NEW KY-536)(04CCN)(12CCR)(14CCR),NEW ROUTE(O),Construct Road in New Location,1,Campbell,019-KY-0547  -000,0,2,Existing,-4.157173754,589
622,590,6,Northern Kentucky ADD,IP20160014,Jun-80,REDUCE CONGESTION AND IMPROVE TRAFFIC MOBILITY AT THE INTERCHANGE OF I-75 AND KY-14 IN WALTON.,CONGESTION MITIGTN(O),Innovative Interchange,1,Boone,008-I-0075  -000,171,171.8,Existing,0,0
537,591,6,Northern Kentucky ADD,IP20160090,10-Jun,IMPROVE GEOMETRICS ON I-71 FROM US-127 TO MP 64. (16CCN)(18CCR),RECONSTRUCTION(O),Modernize Roadway-Rural,1,Gallatin,039-I-0071  -000,62.8,64,Existing,0,0
583,592,6,Northern Kentucky ADD,IP20160091,6-202,RECONSTRUCT US-42 ALONG THE OHIO RIVER TO CORRECT LANDSLIDE PROBLEMS BETWEEN MARKLAND DAM AND CRAIGS CREEK.(U-04DEOB)(10CCR)(14CCR),LANDSLIDE REPAIR(P),Maintenance Improvement,1,Gallatin,039-US-0042  -000,3.325,4.636,Existing,2.186607027,592
421,593,6,Northern Kentucky ADD,IP20160253,6-17.05 / 6-17.09,"KY 143 HPP EARMARK ""ADDRESS DEFICIENCIES OF BRENT SPENCE BRIDGE, KENTON COUNTY, KENTUCKY"". (2005HPP-KY143)(SEE 6-17.04 FOR ADDITIONAL 2005HPP FUNDING)(SD)",AM-BRIDGE (P),Modernize Roadway-Rural,1,Kenton,059-I-0075  -000,191.277,191.777,Existing,0,0
514,594,6,Cincinnati-Northern Kentucky MPO,IP20160302,16-Jun,EXTEND HOUSTON ROAD TO CINEMA PROPERTY. (16CCN)(18CCN),NEW ROUTE(O),Construct Road in New Location,1,Kenton,059-CS-3000  -000,0,0.31,Existing,29.88678236,0
697,595,6,Northern Kentucky ADD,IP20170001,6-80001,EXPANSION OF ROUNDABOUTS ALONG KY-237 AT CARDINAL COVE AND GRAVES RD(18CCN),CONGESTION MITIGTN(O),Modernize Roadway-Rural,1,Boone,008-KY-0237  -000,11.2,12.259,Existing,8.878838277,595
646,596,6,Northern Kentucky ADD,IP20170019,,Reduce congestion at the intersection of KY 8 at Riviera Drive.,Reconstruction,Improve Intersection,1,Campbell,019-KY-0008  -000,0.715,0.914,Existing,0,596
557,597,6,Northern Kentucky ADD,IP20170020,,Improve safety and traffic mobility at the intersection of US 25 and KY 491 (Gardnersville Road) and the railroad at-grade crossing.,Major Widening,Improve Railroad Crossing,1,Grant,041-US-0025  -000,22.114,22.418,Existing,15.34070408,597
782,598,6,Northern Kentucky ADD,IP20190002,,"Improve safety, mobility, address geometric deficiencies, and drainage along KY 237 (Gunpowder Rd.) from KY 536 (Mt. Zion Rd.)  to US 42.",,,1,Boone,008-KY-0237  -000,0,1.588,Existing,1.025827176,598
678,599,6,Northern Kentucky ADD,IP20190058,,Superstreet on KY 18 from McGrath to Boone Aire Road.,Reconstruction,,1,Boone,008-KY-0018  -000,12.138,14.026,Existing,134.5167043,599
745,600,6,Northern Kentucky ADD,IP20190063,,Reconstruct I-75 interchange at KY 18.  Requires IMR.  (Pending CVG study),Reconstruction,,1,Boone,008-I -0075  -000,180.6,181.85,Existing,-10.70626693,600
500,601,6,Northern Kentucky ADD,IP20190064,,Paired Grade-Separated Intersections along KY 18 at KY 842 and Mall Road.  (Pending CVG study),Congestion Management,,1,Boone,008-KY-0018  -000,14.5,15.1,Existing,139.3905828,601
565,602,6,Northern Kentucky ADD,IP20190065,,"I-75 / KY 236	DCD (IMR part of 6-79)",,,1,Kenton,059-I -0075  -000,183.1,184.1,Existing,9.33875168,602
729,603,6,Northern Kentucky ADD,IP20190066,,Reconstruct I-75 interchange at KY 1017 (Turfway Road).  Interchange is part of 6-79 IMR; include southbound exit.   Investigate innovative access management to Turfway Rd and Thoroughbred Blvd.,Reconstruction,,1,Boone,008-I -0075  -000,182.2,183.312,Existing,2.280370955,603
474,604,6,Buffalo Trace ADD,IP20190067,,Improve safety by identifying concerns at intersections along KY 9 - install left turn lanes.,Spot Improvement,,1,Bracken,012-KY-0009  -000,0,19.857,Existing,-0.298723995,604
638,605,6,Northern Kentucky ADD,IP20190072,,"Study egress improvements along KY 9 near intersections of Glenridge, Shadow Lake, KY 919 to increase safety",Transportation Study,,1,Campbell,019-KY-0009  -000,15.1,16.1,Existing,-3.619181149,605
801,606,6,Northern Kentucky ADD,IP20190073,,Reconstruct I-75 interchange at KY 236 (Donaldson Road).  Interchange is part of 6-79 IMR.  Investigate DCD.,Reconstruction,,1,Kenton,059-I -0275  -000,79.5,81,Existing,12.76686753,606
612,607,6,Northern Kentucky ADD,IP20190073,,Reconstruct I-75 interchange at KY 236 (Donaldson Road).  Interchange is part of 6-79 IMR.  Investigate DCD.,Reconstruction,,2,Kenton,059-I -0275  -010,79.505,81.008,Existing,7.786086242,0
509,608,7,Lexington MPO,IP20000035,,Capacity improvements on US 60 (Winchester Rd) from Fortune Dr to I-75.  Additional through lane (3rd through lane between I-75 and Patchen Wilkes Development) and associated pedestrian improvements on both the EB and WB US 60.,Major Widening,Modernize Roadway-Rural,1,Fayette,034-US-0060  -000,10.511,11.801,Existing,0.783546709,608
631,609,7,Lexington MPO,IP20000055,7-430,ACCESS MANAGEMENT ON NICHOLASVILLE ROAD BETWEEN NICHOLASVILLE AND MAN-O-WAR BLVD. (14CCR),SAFETY(P),Access Consolidation,1,Jessamine,057-US-0027  -000,10.87,15.278,Existing,-39.23940742,609
641,610,7,Bluegrass ADD,IP20040018,,Reconstruct US 460 from I-75 in Scott County to KY 353 (Russell Cave Rd) in Bourbon County.,Reconstruction,Modernize Roadway-Rural,1,Bourbon,009-US-0460  -000,0,1.394,Existing,1.447046785,610
753,611,7,Bluegrass ADD,IP20040019,,RECONSTRUCT KY 52 FROM KY 1805 (Goggin Ln) TO KY 590.,Major Widening,Modernize Roadway-Rural,1,Boyle,011-KY-0052  -000,1.586,3.773,Existing,-2.000744628,611
