Join_Count,TARGET_FID,JOIN_FID,OBJECTID,RT_UNIQUE,BEGIN_MP,END_MP,EEC,Roadway,ProjectNo,Routeuniqu,BEGINNINGMILE,ENDINGMILE
1,654,475,1644437,120-KY-0169  -000,1.882,2.004,4.849295713,R2L,632,120-KY-0169  -000,0,3
1,660,127,684705,052-KY-0146  -000,6.645,6.71,4.564362667,R2L,394,052-KY-0146  -000,2.169,6.8
1,664,891,323562,026-US-0421  -000,15.727,15.737,3.492293516,R2L,879,026-US-0421  -000,15.5,17
1,675,933,140672,013-KY-0015  -000,17.137,17.182,5.617304176,R2L,851,013-KY-0015  -000,16.75,17.9
1,677,907,647100,048-US-0421  -000,0.966,0.985,3.778821895,R2L,883,048-US-0421  -000,0,3.832
1,681,380,1519037,109-US-0068  -000,0.176,0.435,3.707299573,R2L,389,109-US-0068  -000,0,4.87
1,683,381,288461,024-KY-0115  -000,2.32,2.5079765,4.895765585,R2L,117,024-KY-0115  -000,1.261,2.663
1,684,462,520749,041-KY-0022  -000,9.758,9.8869765,5.800074061,R2L,559,041-KY-0022  -000,6.671,10.748
1,686,505,850043,057-KY-1980  -000,3.1349765,3.1859765,3.841159442,R2L,655,057-KY-1980  -000,0,3.205
1,692,203,811284,056-KY-0155  -000,5.4089765,5.6359765,5.912619994,R2L,400,056-KY-0155  -000,4.4,5.75
1,700,248,1581074,115-KY-0055  -000,4.54,4.5509765,5.264147935,R2L,391,115-KY-0055  -000,0,4.551
1,702,840,944146,063-KY-0080  -000,0,0.328,4.573379417,R2L,885,063-KY-0080  -000,0,11.211
1,702,950,944146,063-KY-0080  -000,0,0.328,4.573379417,R2L,894,063-KY-0080  -000,0,11.211
1,705,753,127501,011-KY-0052  -000,2.02,2.087,3.902451401,R2L,611,011-KY-0052  -000,1.586,3.773
1,712,564,382598,032-KY-0007  -000,6.819,6.85,3.992932725,R2L,806,032-KY-0007  -000,0,6.956
1,716,167,610709,047-KY-0251  -000,4.04,4.367,4.402823484,R2L,364,047-KY-0251  -000,2.866,6.288
1,754,111,181732,016-KY-0070  -000,14.2286765,14.304,4.424931085,R2L,204,016-KY-0070  -000,12.83,14.419
1,766,141,1552147,113-US-0060  -000,14.35,14.403,3.873467405,R2L,110,113-US-0060  -000,13.29,15.401
1,769,877,1343549,097-KY-0015  -000,19.8779765,19.8959765,4.295508211,R2L,847,097-KY-0015  -000,16.9,21.2
1,770,929,1364953,098-KY-0194  -000,18.5289765,18.61,4.612585212,R2L,944,098-KY-0194  -000,17.951,21
1,776,167,610704,047-KY-0251  -000,3.9479765,4.04,4.369343452,R2L,364,047-KY-0251  -000,2.866,6.288
1,782,192,215616,018-US-0641  -000,0.93,0.9929765,3.691410816,R2L,63,018-US-0641  -000,0.626,1.678
1,783,163,590570,046-KY-0069  -000,12.243,12.391,4.446485867,R2L,104,046-KY-0069  -000,12,13
1,783,183,590570,046-KY-0069  -000,12.243,12.391,4.446485867,R2L,102,046-KY-0069  -000,4.627,13.08
1,790,501,3627,001-KY-0055  -000,0.934,0.986,4.957466327,R2L,679,001-KY-0055  -000,0,10.059
1,796,702,518322,040-US-0027  -000,7.687,7.7389765,3.808150971,R2L,652,040-US-0027  -000,5.199,10.331
1,808,203,811278,056-KY-0155  -000,4.96,5.11,4.624050426,R2L,400,056-KY-0155  -000,4.4,5.75
1,808,732,811278,056-KY-0155  -000,4.96,5.11,4.624050426,R2L,432,056-KY-0155  -000,4.4,5
1,815,597,29108,003-US-0062  -000,21.248,21.4995765,4.669794928,R2L,631,003-US-0062  -000,20.54,22.813
1,819,494,1126792,076-US-0025  -000,0.694,0.83,4.039069495,R2L,661,076-US-0025  -000,0,3.654
1,820,548,1124821,076-KY-2881  -000,2.668,2.697,3.699202338,R2L,644,076-KY-2881  -000,0.783,2.78
